Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.071104259661816,0.00200303179776182,-0.0992852147953352,0,0,0,2.75314359310365,0.00656124977474362,-4.33905688722586E-07,7.93136902490125E-06,0.00572527308396674,-4.29101613521354E-07,0.0116295244162171,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body(fixed)-1,model,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0455532547277618,0.00238273174768056,0.0031623757188409,0,0,0,0.0606810735326679,1.7187359000971E-05,-1.64845302056313E-08,-1.56454773175205E-07,1.57906996487927E-05,2.96411876510921E-09,1.34932513987566E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,,LFS,fixed,-0.0088681,0.084404,-0.1865,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
LFW,0.0150000000000021,-3.77475828372553E-15,-1.36279876272738E-14,0,0,0,0.289786121963991,0.000439831942427159,-4.65239694003278E-37,1.04264851376367E-36,0.000241649930360879,3.02397073524909E-39,0.000241649930360879,0,0,0,0,0,0,package://lide/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-2,Origin_LFW,Axis_LFW,LFW,continuous,0.063346,-0.006798,0.015044,0,0,0,LFS,1,0,0,,,,,,,,,,,,
RFS,-0.019176,-0.014942,0.052192,0,0,0,0.060681,1.7187E-05,-1.6485E-08,1.5645E-07,1.5791E-05,-2.9641E-09,1.3493E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,,RFS,fixed,-0.057897,-0.11078,-0.16922,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RFW,-0.015,0,0,0,0,0,0.28979,0.00043983,-4.6524E-37,1.7402E-39,0.00024165,3.024E-39,0.00024165,0,0,0,0,0,0,package://lide/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-1,Origin_RFW,Axis_RFW,RFW,continuous,-0.036969,-0.024084,0.064073,0,0,0,RFS,1,0,0,,,,,,,,,,,,
LBS,5.55111512312578E-17,-0.0321727592809229,0,0,0,0,0.363667376200124,0.000280063193969241,-5.63012033557556E-20,1.14404597665131E-19,0.000430293340175671,-3.14802875027566E-20,0.000279903038811601,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,"ball_sus,big-1",Origin_LBS,,LBS,fixed,-0.15682,0.13,-0.15836,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
LBW,-5.5511E-17,0,-1.7555E-15,0,0,0,0.4849,0.0002376,0,0,0.0002376,0,0.0002376,0,0,0,0,0,0,package://lide/meshes/LBW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/LBW.STL,,Alball_big-1,Origin_LBW,Axis_LBW,LBW,fixed,0,-0.054938,0,0,0,0,LBS,0,0,0,,,,,,,,,,,,
RBS,0,-0.032173,0,0,0,0,0.36367,0.00028006,2.2656E-20,-8.5808E-20,0.00043029,-6.5643E-21,0.0002799,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,"ball_sus,big-2",Origin_RBS,,RBS,fixed,-0.15682,-0.13,-0.15836,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RBW,-6.9389E-18,0,0,0,0,0,0.4849,0.0002376,0,0,0.0002376,0,0.0002376,0,0,0,0,0,0,package://lide/meshes/RBW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RBW.STL,,Alball_big-2,Origin_RBW,Axis_RBW,RBW,fixed,0,-0.054938,0,0,0,0,RBS,0,0,0,,,,,,,,,,,,
fcam,0.00044553,-1.1063E-05,0.0012982,0,0,0,0.043612,2.3571E-05,-1.0181E-09,2.1758E-08,4.2948E-06,-8.8579E-10,2.2106E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-1,fcam,,fcam,fixed,0.033176,0,-0.015008,0,0,0,base_link,0,0,0,,,,,,,,,,,,
